node_id,basin_outlet_id,A,L_obs,L_est
7645,9936.0,408000000.0,38455.8441227,35163.7722962
7745,9936.0,410000000.0,39455.8441227,35288.9957995
7845,9936.0,519000000.0,40455.8441227,41885.9181531
7946,9936.0,584000000.0,41870.0576851,45637.4610728
8046,9936.0,586000000.0,42870.0576851,45751.0265976
8145,9936.0,650000000.0,44284.2712475,49331.6338522
8246,9936.0,657000000.0,45698.4848098,49717.2762728
8346,9936.0,662000000.0,46698.4848098,49992.0483855
8446,9936.0,666000000.0,47698.4848098,50211.4582474
8546,9936.0,722000000.0,48698.4848098,53246.6414966
8641,9936.0,767000000.0,54941.125497,55639.1983876
8642,9936.0,763000000.0,53941.125497,55428.1092139
8645,9936.0,727000000.0,50112.6983722,53514.4510899
8738,9936.0,816000000.0,59183.7661841,58201.2500003
8740,9936.0,771000000.0,56355.3390593,55849.9871962
8743,9936.0,751000000.0,52526.9119346,54793.0193211
8744,9936.0,741000000.0,51526.9119346,54261.6588634
8837,9936.0,820000000.0,60597.9797464,58408.5134407
8839,9936.0,783000000.0,57769.5526217,56480.5711396
8936,9936.0,922000000.0,62012.1933088,63604.9389563
9035,9936.0,968000000.0,63426.4068712,65896.4480171
9136,9936.0,974000000.0,64840.6204336,66193.1236632
9236,9936.0,979000000.0,65840.6204336,66439.9723404
9335,9936.0,984000000.0,67254.8339959,66686.4770296
9435,9936.0,998000000.0,68254.8339959,67374.8789732
9536,9936.0,1016000000.0,69669.0475583,68256.1065872
9635,9936.0,1022000000.0,71083.2611207,68548.8993517
9735,9936.0,1024000000.0,72083.2611207,68646.3925523
9836,9936.0,1028000000.0,73497.4746831,68841.2231502
9936,9936.0,1028000000.0,74497.4746831,68841.2231502
