,time [kyr],maxdiff,maxdiff_relief,diff_mean,diff_max_loc,maxdiff_perc
4780,47800.0,0.000621858082695,0.000621858082695,0.000181228769975,0.411401886958,0.000532141158842
4781,47810.0,0.000622285274403,0.000622285274403,0.000179124116926,0.407487642751,0.000527356110176
4782,47820.0,0.000622703846602,0.000622703846602,0.000177028977077,0.403608023569,0.000522608220795
4783,47830.0,0.000623113797019,0.000623113797019,0.000174943553247,0.39976276294,0.000517897298415
4784,47840.0,0.00062351512679,0.00062351512679,0.000172868039272,0.395951595503,0.000513223149663
4785,47850.0,0.000623907838417,0.000623907838417,0.000170802619323,0.392174257027,0.00050858558014
4786,47860.0,0.000624291936219,0.000624291936219,0.000168747469047,0.388430484428,0.000503984394474
4787,47870.0,0.000624667426564,0.000624667426564,0.000166702755678,0.384720015789,0.000499419396376
4788,47880.0,0.000625034318318,0.000625034318318,0.000164668638149,0.381042590381,0.000494890388694
4789,47890.0,0.000625392621714,0.000625392621714,0.000162645267551,0.377397948674,0.00049039717347
4790,47900.0,0.000625742349484,0.000625742349484,0.000160632787356,0.37378583236,0.000485939551991
4791,47910.0,0.000626083515726,0.000626083515726,0.000158631333761,0.370205984366,0.000481517324839
4792,47920.0,0.000626416137038,0.000626416137038,0.000156641036369,0.366658148869,0.000477130291946
4793,47930.0,0.00062674023161,0.00062674023161,0.000154662017053,0.363142071312,0.000472778252641
4794,47940.0,0.000627055819677,0.000627055819677,0.000152694391659,0.359657498419,0.000468461005698
4795,47950.0,0.000627362923979,0.000627362923979,0.000150738270122,0.356204178206,0.000464178349389
4796,47960.0,0.00062766156816,0.00062766156816,0.000148793755443,0.352781859999,0.000459930081525
4797,47970.0,0.00062795177837,0.00062795177837,0.000146860945506,0.34939029444,0.000455715999506
4798,47980.0,0.000628233582802,0.000628233582802,0.00014493993217,0.346029233505,0.000451535900366
4799,47990.0,0.000628507011243,0.000628507011243,0.000143030801723,0.342698430512,0.000447389580814
4800,48000.0,0.00062877209507,0.00062877209507,0.000170589340314,0.860391066934,0.00112449552295
4801,48010.0,0.000629028868616,0.000629028868616,0.000168837694105,0.851648085925,0.00111430911125
4802,48020.0,0.000629277366443,0.000629277366443,0.000167088173725,0.842978720535,0.00110418386097
4803,48030.0,0.000629517626521,0.000629517626521,0.000165340994613,0.834382730148,0.00109412010999
4804,48040.0,0.000629749687505,0.000629749687505,0.000163596416314,0.825859859017,0.0010841181694
4805,48050.0,0.000629973590321,0.000629973590321,0.000161854735893,0.817409837261,0.0010741783247
4806,48060.0,0.000630189377489,0.000630189377489,0.000160116272014,0.809032381809,0.00106430083691
4807,48070.0,0.000630397093573,0.000630397093573,0.00015838135937,0.80072719727,0.0010544859436
4808,48080.0,0.000630596784276,0.000630596784276,0.000156650334588,0.792493976767,0.00104473385994
4809,48090.0,0.000630788497801,0.000630788497801,0.000154923532364,0.784332402711,0.0010350447796
4810,48100.0,0.000630972283261,0.000630972283261,0.000153201277499,0.776242147533,0.00102541887571
4811,48110.0,0.000631148191815,0.000631148191815,0.000151483882291,0.768222874371,0.00101585630165
4812,48120.0,0.000631316276213,0.000631316276213,0.000149771643805,0.760274237714,0.00100635719187
4813,48130.0,0.000631476590797,0.000631476590797,0.000148064843188,0.752395884011,0.000996921662695
4814,48140.0,0.000631629191503,0.000631629191503,0.000146363745444,0.744587452244,0.000987549813001
4815,48150.0,0.000631774135854,0.000631774135854,0.00014466859875,0.736848574464,0.000978241724936
4816,48160.0,0.000631911482287,0.000631911482287,0.000142979637076,0.729178876303,0.000968997464566
4817,48170.0,0.000632041291965,0.000632041291965,0.000141297079381,0.721577977443,0.0009598170825
4818,48180.0,0.000632163626278,0.000632163626278,0.000139621133599,0.714045492076,0.000950700614483
4819,48190.0,0.000632278549119,0.000632278549119,0.000137951993224,0.706581029317,0.000941648081961
4820,48200.0,0.000632386124607,0.000632386124607,0.000136289844363,0.699184193615,0.000932659492622
4821,48210.0,0.00063248641959,0.00063248641959,0.000134634861524,0.691854585121,0.000923734840908
4822,48220.0,0.000632579500689,0.000632579500689,0.000132987212169,0.684591800045,0.000914874108505
4823,48230.0,0.000632665437706,0.000632665437706,0.000131347055458,0.677395430996,0.000906077264811
4824,48240.0,0.000632744299992,0.000632744299992,0.000129714543732,0.670265067291,0.000897344267385
4825,48250.0,0.000632816158941,0.000632816158941,0.000128089823647,0.66320029526,0.00088867506237
4826,48260.0,0.00063288108754,0.00063288108754,0.000126473034697,0.656200698525,0.000880069584907
4827,48270.0,0.000632939159232,0.000632939159232,0.000124864312284,0.649265858264,0.000871527759524
4828,48280.0,0.000632990448594,0.000632990448594,0.000123263784531,0.642395353466,0.000863049500512
4829,48290.0,0.000633035032479,0.000633035032479,0.000121671576039,0.635588761167,0.000854634712283
4830,48300.0,0.00063307298683,0.00063307298683,0.000120087805271,0.628845656676,0.000846283289717
4831,48310.0,0.000633104390545,0.000633104390545,0.000118512585459,0.622165613784,0.000837995118492
4832,48320.0,0.000633129322296,0.000633129322296,0.000116946025742,0.615548204968,0.000829770075403
4833,48330.0,0.0006331478628,0.0006331478628,0.00011538822821,0.608993001579,0.000821608028669
4834,48340.0,0.00063316009232,0.00063316009232,0.000113839292226,0.602499574022,0.000813508838224
4835,48350.0,0.000633166092939,0.000633166092939,0.00011229930999,0.596067491927,0.000805472356002
4836,48360.0,0.000633165947875,0.000633165947875,0.00011076836995,0.589696324308,0.000797498426213
4837,48370.0,0.000633159740346,0.000633159740346,0.000109246554416,0.583385639716,0.0007895868856
4838,48380.0,0.000633147554936,0.000633147554936,0.000107733941377,0.577135006386,0.000781737563699
4839,48390.0,0.000633129476682,0.000633129476682,0.000106230603137,0.570943992368,0.00077395028308
4840,48400.0,0.000633105591305,0.000633105591305,0.000104736608023,0.564812165663,0.000766224859583
4841,48410.0,0.000633075985434,0.000633075985434,0.000103252017993,0.558739094339,0.00075856110255
4842,48420.0,0.000633040746379,0.000633040746379,0.000101776891597,0.552724346655,0.000750958815045
4843,48430.0,0.000632999961681,0.000632999961681,0.000100311281585,0.546767491163,0.000743417794065
4844,48440.0,0.000632953720014,0.000632953720014,9.88552368426e-05,0.540868096819,0.000735937830752
4845,48450.0,0.000632902109828,0.000632902109828,9.74088018211e-05,0.53502573308,0.000728518710587
4846,48460.0,0.000632845220252,0.000632845220252,9.59720160836e-05,0.529239969997,0.000721160213594
4847,48470.0,0.000632783141555,0.000632783141555,9.45449151004e-05,0.523510378308,0.000713862114518
4848,48480.0,0.000632715963548,0.000632715963548,9.31275311586e-05,0.517836529516,0.000706624183016
4849,48490.0,0.000632643776953,0.000632643776953,9.17198915431e-05,0.512217995977,0.000699446183831
4850,48500.0,0.000632566672493,0.000632566672493,9.03220208102e-05,0.506654350973,0.000692327876965
4851,48510.0,0.000632484741573,0.000632484741573,8.89339391961e-05,0.501145168783,0.00068526901785
4852,48520.0,0.00063239807514,0.00063239807514,8.75556640949e-05,0.495690024755,0.000678269357504
4853,48530.0,0.000632306764828,0.000632306764828,8.61872096038e-05,0.49028849537,0.000671328642697
4854,48540.0,0.000632210902722,0.000632210902722,8.48285862958e-05,0.484940158303,0.000664446616101
4855,48550.0,0.000632110580682,0.000632110580682,8.34798022424e-05,0.479644592486,0.000657623016442
4856,48560.0,0.000632005890111,0.000632005890111,8.21408623324e-05,0.47440137816,0.000650857578648
4857,48570.0,0.000631896923778,0.000631896923778,8.08117694078e-05,0.469210096929,0.000644150033988
4858,48580.0,0.000631783773315,0.000631783773315,7.94925233549e-05,0.464070331813,0.000637500110212
4859,48590.0,0.000631666530808,0.000631666530808,7.81831213317e-05,0.458981667296,0.00063090753169
4860,48600.0,0.000631545288115,0.000631545288115,7.68835589042e-05,0.453943689368,0.000624372019541
4861,48610.0,0.000631420137552,0.000631420137552,7.55938289103e-05,0.448955985573,0.000617893291763
4862,48620.0,0.000631291170066,0.000631291170066,7.43139224824e-05,0.444018145048,0.000611471063358
4863,48630.0,0.000631158477972,0.000631158477972,7.30438287064e-05,0.439129758562,0.000605105046457
4864,48640.0,0.000631022151993,0.000631022151993,7.17835342812e-05,0.434290418557,0.000598794950439
4865,48650.0,0.000630882283758,0.000630882283758,7.05330253368e-05,0.429499719178,0.000592540482048
4866,48660.0,0.000630738963537,0.000630738963537,6.92922848202e-05,0.42475725631,0.000586341345509
4867,48670.0,0.000630592282505,0.000630592282505,6.80612954511e-05,0.42006262761,0.000580197242639
4868,48680.0,0.000630442329793,0.000630442329793,6.68400373343e-05,0.415415432537,0.000574107872956
4869,48690.0,0.000630289195897,0.000630289195897,6.56284897786e-05,0.41081527238,0.000568072933787
4870,48700.0,0.000630132969945,0.000630132969945,6.44266306153e-05,0.406261750286,0.000562092120373
4871,48710.0,0.000629973740615,0.000629973740615,6.32344363112e-05,0.401754471287,0.00055616512597
4872,48720.0,0.000629811596355,0.000629811596355,6.20518824235e-05,0.397293042322,0.000550291641952
4873,48730.0,0.00062964662493,0.00062964662493,6.08789423495e-05,0.392877072265,0.000544471357904
4874,48740.0,0.000629478913197,0.000629478913197,5.97155894866e-05,0.38850617194,0.000538703961724
4875,48750.0,0.000629308548241,0.000629308548241,5.85617955267e-05,0.384179954148,0.00053298913971
4876,48760.0,0.000629135615782,0.000629135615782,5.74175321617e-05,0.379898033687,0.00052732657666
4877,48770.0,0.000628960201311,0.000628960201311,5.62827681279e-05,0.375660027364,0.000521715955953
4878,48780.0,0.000628782389413,0.000628782389413,5.51574736392e-05,0.371465554021,0.000516156959643
4879,48790.0,0.000628602263532,0.000628602263532,5.40416162949e-05,0.367314234545,0.000510649268542
4880,48800.0,0.000628419907343,0.000628419907343,5.29351641489e-05,0.363205691887,0.000505192562306
4881,48810.0,0.000628235402473,0.000628235402473,5.18380832091e-05,0.359978270183,0.000499786519516
4882,48820.0,0.000628048830777,0.000628048830777,5.0750340165e-05,0.358764250769,0.000494430817758
4883,48830.0,0.000627860272971,0.000627860272971,4.96719000012e-05,0.357526096711,0.000489125133704
4884,48840.0,0.000627669808637,0.000627669808637,4.86027274746e-05,0.356264555203,0.000483869143187
4885,48850.0,0.000627477516446,0.000627477516446,4.75427871152e-05,0.354980359513,0.000478662521277
4886,48860.0,0.000627283474159,0.000627283474159,4.64920418608e-05,0.3536742292,0.000473504942356
4887,48870.0,0.000627087758858,0.000627087758858,4.54504553318e-05,0.352346870319,0.000468396080188
