node_id,basin_outlet_id,A,L_obs,L_est
3472,2399.0,32000000.0,8242.64068712,7957.11559903
3473,2399.0,35000000.0,9242.64068712,8387.11151323
3474,2399.0,57000000.0,10242.6406871,11168.8248759
3568,2399.0,13000000.0,3828.42712475,4688.11557634
3667,2399.0,9000000.0,2414.21356237,3777.50726549
3767,2399.0,4000000.0,1414.21356237,2346.21052926
3866,2399.0,1000000.0,0.0,1039.38039505
3952,9935.0,22000000.0,4828.42712475,3250.02000901
3953,9935.0,16000000.0,3828.42712475,2586.191447
4051,9935.0,31000000.0,6242.64068712,4156.64016344
4054,9935.0,5000000.0,2414.21356237,1122.63991657
4150,9935.0,47000000.0,7656.85424949,5602.88504325
4155,9935.0,2000000.0,1000.0,581.752359618
4156,9935.0,1000000.0,0.0,353.805012097
4249,9935.0,53000000.0,9071.06781187,6107.26635859
4346,9935.0,90000000.0,12485.2813742,8929.694098
4347,9935.0,71000000.0,11485.2813742,7532.69748445
4348,9935.0,67000000.0,10485.2813742,7225.74405717
4445,9935.0,137000000.0,13899.4949366,12071.3428991
4545,9935.0,140000000.0,14899.4949366,12260.4096511
4645,9935.0,153000000.0,15899.4949366,13066.8924041
4744,9935.0,156000000.0,17313.708499,13250.2080281
4844,9935.0,242000000.0,18313.708499,18156.5745017
4944,9935.0,245000000.0,19313.708499,18317.7780501
5043,9935.0,252000000.0,20727.9220614,18691.7692707
5143,9935.0,287000000.0,21727.9220614,20519.7940809
5243,9935.0,372000000.0,22727.9220614,24717.3404409
5344,9935.0,377000000.0,24142.1356237,24955.2435492
5445,9935.0,386000000.0,25556.3491861,25381.2367202
5545,9935.0,389000000.0,26556.3491861,25522.6086682
5644,9935.0,421000000.0,27970.5627485,27012.0119289
5745,9935.0,426000000.0,29384.7763109,27241.7914275
5846,9935.0,496000000.0,30798.9898732,30383.5922935
5847,9935.0,500000000.0,31798.9898732,30559.1888933
5848,9935.0,507000000.0,32798.9898732,30865.5313548
5949,9935.0,517000000.0,34213.2034356,31301.0995103
6050,9935.0,661000000.0,35627.416998,37335.2799257
6151,9935.0,671000000.0,37041.6305603,37739.6572165
6252,9935.0,692000000.0,38455.8441227,38583.356486
6353,9935.0,698000000.0,39870.0576851,38823.0779208
6453,9935.0,705000000.0,40870.0576851,39102.0183802
6554,9935.0,708000000.0,42284.2712475,39221.3244862
6654,9935.0,1067000000.0,43284.2712475,52640.8116765
6754,9935.0,1077000000.0,44284.2712475,52994.301647
6853,9935.0,1085000000.0,45698.4848098,53276.42625
6952,9935.0,1091000000.0,47112.6983722,53487.6340836
7051,9935.0,1147000000.0,48526.9119346,55443.3942094
7151,9935.0,1151000000.0,49526.9119346,55582.0457595
7251,9935.0,1156000000.0,50526.9119346,55755.1689067
7351,9935.0,1198000000.0,51526.9119346,57201.1674024
7451,9935.0,1201000000.0,52526.9119346,57303.8999054
7550,9935.0,1235000000.0,53941.125497,58463.1909615
7650,9935.0,1254000000.0,54941.125497,59107.0968932
7749,9935.0,1260000000.0,56355.3390593,59309.8615821
7848,9935.0,1274000000.0,57769.5526217,59781.9218133
7947,9935.0,1282000000.0,59183.7661841,60051.0121268
8047,9935.0,1297000000.0,60183.7661841,60554.2817422
8146,9935.0,1302000000.0,61597.9797464,60721.672213
8245,9935.0,1339000000.0,63012.1933088,61954.7780662
8344,9935.0,1361000000.0,64426.4068712,62683.4075577
8443,9935.0,1368000000.0,65840.6204336,62914.5446106
8542,9935.0,1375000000.0,67254.8339959,63145.3477268
8640,9935.0,1402000000.0,69669.0475583,64032.4997389
8641,9935.0,1397000000.0,68669.0475583,63868.5791203
8738,9935.0,1416000000.0,72083.2611207,64490.6015659
8739,9935.0,1413000000.0,71083.2611207,64392.5450263
8837,9935.0,1840000000.0,73497.4746831,77823.3139506
8936,9935.0,1845000000.0,74911.6882454,77974.9796543
9035,9935.0,1850000000.0,76325.9018078,78126.5292695
9134,9935.0,1873000000.0,77740.1153702,78822.173613
9234,9935.0,1884000000.0,78740.1153702,79154.0189973
9335,9935.0,1891000000.0,80154.3289326,79364.9082737
9435,9935.0,1893000000.0,81154.3289326,79425.1218144
9536,9935.0,1916000000.0,82568.5424949,80116.2918584
9635,9935.0,1924000000.0,83982.7560573,80356.1484018
9735,9935.0,1927000000.0,84982.7560573,80446.0219176
9835,9935.0,1928000000.0,85982.7560573,80475.970969
9935,9935.0,1928000000.0,86982.7560573,80475.970969
